location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Central University, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm25,72,µg/m³,17.460103,78.334361,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Nehru Nagar, Kanpur - UPPCB",Kanpur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,66,µg/m³,26.4703136,80.3229863,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Padmapukur, Howrah - WBPCB",Howrah,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,21000,µg/m³,22.5687319,88.2797276,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"ICRISAT Patancheru, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,24,µg/m³,17.4342359,78.4170318,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Sanathnagar, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,51,µg/m³,17.4559458,78.4332152,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Central University, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,29000,µg/m³,17.460103,78.334361,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Vasundhara, Ghaziabad, UP - UPPCB",Ghaziabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm10,228,µg/m³,28.6603346,77.3572563,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Sanathnagar, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,6,µg/m³,17.4559458,78.4332152,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Vasundhara, Ghaziabad, UP - UPPCB",Ghaziabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,43000,µg/m³,28.6603346,77.3572563,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Nehru Nagar, Kanpur - UPPCB",Kanpur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,12,µg/m³,26.4703136,80.3229863,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,59,µg/m³,17.5316895,78.218939,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"ICRISAT Patancheru, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,25000,µg/m³,17.4342359,78.4170318,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Talkatora District Industries Center, Lucknow - CPCB",Lucknow,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm25,258,µg/m³,26.83399722,80.8917361,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Central School, Lucknow - CPCB",Lucknow,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,44000,µg/m³,26.8821003,80.9302753,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,4,µg/m³,17.5316895,78.218939,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Zoo Park, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,7,µg/m³,17.349694,78.451437,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Nehru Nagar, Kanpur - UPPCB",Kanpur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,o3,29,µg/m³,26.4703136,80.3229863,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Ward-32 Bapupara, Siliguri - WBPCB",Siliguri,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,o3,59,µg/m³,26.6883049,88.412668,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"ICRISAT Patancheru, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,o3,68,µg/m³,17.4342359,78.4170318,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Ward-32 Bapupara, Siliguri - WBPCB",Siliguri,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm10,141,µg/m³,26.6883049,88.412668,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Talkatora District Industries Center, Lucknow - CPCB",Lucknow,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,47,µg/m³,26.83399722,80.8917361,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,o3,47,µg/m³,17.5316895,78.218939,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Zoo Park, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,58,µg/m³,17.349694,78.451437,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Zoo Park, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,67000,µg/m³,17.349694,78.451437,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Sanathnagar, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,49000,µg/m³,17.4559458,78.4332152,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Manali, Chennai - CPCB",Chennai,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm25,69,µg/m³,13.164544,80.26285,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Lalbagh, Lucknow - CPCB",Lucknow,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,68000,µg/m³,26.8458805,80.9365541,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Vasundhara, Ghaziabad, UP - UPPCB",Ghaziabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,o3,42,µg/m³,28.6603346,77.3572563,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Lalbagh, Lucknow - CPCB",Lucknow,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,11,µg/m³,26.8458805,80.9365541,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"IIT, Chennai - CPCB",Chennai,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,o3,55,µg/m³,13.0052189,80.2398125,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Lalbagh, Lucknow - CPCB",Lucknow,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm25,276,µg/m³,26.8458805,80.9365541,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Central School, Lucknow - CPCB",Lucknow,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm25,173,µg/m³,26.8821003,80.9302753,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"IIT, Chennai - CPCB",Chennai,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,32,µg/m³,13.0052189,80.2398125,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"IIT, Chennai - CPCB",Chennai,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,57000,µg/m³,13.0052189,80.2398125,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"IIT, Chennai - CPCB",Chennai,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,5,µg/m³,13.0052189,80.2398125,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"IIT, Chennai - CPCB",Chennai,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm25,27,µg/m³,13.0052189,80.2398125,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Central University, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm10,98,µg/m³,17.460103,78.334361,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Vasundhara, Ghaziabad, UP - UPPCB",Ghaziabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,66,µg/m³,28.6603346,77.3572563,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Ashok Nagar, Udaipur - RSPCB",Udaipur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,37,µg/m³,24.5886166,73.6321397,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Ashok Nagar, Udaipur - RSPCB",Udaipur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm10,90,µg/m³,24.5886166,73.6321397,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Indira Colony Vistar, Pali - RSPCB",Pali,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm25,155,µg/m³,25.771061,73.340227,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Ashok Nagar, Udaipur - RSPCB",Udaipur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,78000,µg/m³,24.5886166,73.6321397,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Ashok Nagar, Udaipur - RSPCB",Udaipur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,11,µg/m³,24.5886166,73.6321397,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Indira Colony Vistar, Pali - RSPCB",Pali,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,13,µg/m³,25.771061,73.340227,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Indira Colony Vistar, Pali - RSPCB",Pali,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,o3,54,µg/m³,25.771061,73.340227,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Indira Colony Vistar, Pali - RSPCB",Pali,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,28000,µg/m³,25.771061,73.340227,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Ashok Nagar, Udaipur - RSPCB",Udaipur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm25,73,µg/m³,24.5886166,73.6321397,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Indira Colony Vistar, Pali - RSPCB",Pali,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,37,µg/m³,25.771061,73.340227,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Indira Colony Vistar, Pali - RSPCB",Pali,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm10,128,µg/m³,25.771061,73.340227,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Shrinath Puram, Kota - RSPCB",Kota,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,11,µg/m³,25.14389,75.821256,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Shrinath Puram, Kota - RSPCB",Kota,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,15,µg/m³,25.14389,75.821256,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Shrinath Puram, Kota - RSPCB",Kota,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,62000,µg/m³,25.14389,75.821256,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Shrinath Puram, Kota - RSPCB",Kota,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm10,135,µg/m³,25.14389,75.821256,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Collectorate, Jodhpur - RSPCB",Jodhpur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm25,265,µg/m³,26.268249,73.0193853,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Shrinath Puram, Kota - RSPCB",Kota,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm25,112,µg/m³,25.14389,75.821256,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Collectorate, Jodhpur - RSPCB",Jodhpur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,10,µg/m³,26.268249,73.0193853,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Collectorate, Jodhpur - RSPCB",Jodhpur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm10,189,µg/m³,26.268249,73.0193853,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Police Commissionerate, Jaipur - RSPCB",Jaipur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,12,µg/m³,26.9164092,75.7994901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Collectorate, Jodhpur - RSPCB",Jodhpur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,o3,38,µg/m³,26.268249,73.0193853,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Collectorate, Jodhpur - RSPCB",Jodhpur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,53,µg/m³,26.268249,73.0193853,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Collectorate, Jodhpur - RSPCB",Jodhpur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,42000,µg/m³,26.268249,73.0193853,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Police Commissionerate, Jaipur - RSPCB",Jaipur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,54000,µg/m³,26.9164092,75.7994901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Police Commissionerate, Jaipur - RSPCB",Jaipur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm10,134,µg/m³,26.9164092,75.7994901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Police Commissionerate, Jaipur - RSPCB",Jaipur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm25,136,µg/m³,26.9164092,75.7994901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Police Commissionerate, Jaipur - RSPCB",Jaipur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,o3,230,µg/m³,26.9164092,75.7994901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Police Commissionerate, Jaipur - RSPCB",Jaipur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,31,µg/m³,26.9164092,75.7994901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Adarsh Nagar, Jaipur - RSPCB",Jaipur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,9,µg/m³,26.902909,75.836853,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Adarsh Nagar, Jaipur - RSPCB",Jaipur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,42,µg/m³,26.902909,75.836853,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
