location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Haldia, Haldia - WBPCB",Haldia,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,18,µg/m³,22.06047,88.109737,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Nishant Ganj, Lucknow - UPPCB",Lucknow,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm25,353,µg/m³,26.871428,80.957145,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Sector - 62, Noida, UP - IMD",Noida,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm10,212,µg/m³,28.6245479,77.3577104,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Ward-32 Bapupara, Siliguri - WBPCB",Siliguri,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,66000,µg/m³,26.6883049,88.412668,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Nishant Ganj, Lucknow - UPPCB",Lucknow,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,101000,µg/m³,26.871428,80.957145,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Padmapukur, Howrah - WBPCB",Howrah,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,o3,68,µg/m³,22.5687319,88.2797276,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",Durgapur,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,79,µg/m³,23.5404352,87.2892225,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Haldia, Haldia - WBPCB",Haldia,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,27,µg/m³,22.06047,88.109737,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Lajpat Nagar, Moradabad - UPPCB",Moradabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,52,µg/m³,28.825341,78.7213009,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Padmapukur, Howrah - WBPCB",Howrah,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm25,146,µg/m³,22.5687319,88.2797276,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
